Designator,Mid X,Mid Y,Layer,Rotation
R47,61.500000,-94.900000,top,90.000000
R48,58.800000,-91.800000,top,180.000000
R49,47.350000,-75.850000,top,0.000000
R50,45.900000,-78.450000,top,90.000000
R51,55.800000,-94.900000,top,90.000000
R52,35.900000,-92.275000,top,0.000000
R53,65.030000,-72.800000,top,0.000000
R54,41.790000,-93.530000,top,90.000000
R55,42.830000,-94.200000,top,90.000000
R56,38.950000,-87.800000,top,0.000000
R57,41.460000,-88.610000,top,90.000000
R58,37.200000,-81.600000,top,180.000000
R59,45.800000,-91.350000,top,-90.000000
R60,39.765000,-93.190000,top,0.000000
R61,44.600000,-89.250000,top,180.000000
R62,38.550000,-89.800000,top,0.000000
R63,135.400000,-83.650000,top,180.000000
R64,45.050000,-66.000000,top,90.000000
R65,44.925000,-68.250000,top,180.000000
R66,140.500000,-78.900000,top,90.000000
R67,46.550000,-69.325000,top,180.000000
R68,41.850000,-68.250000,top,180.000000
R69,50.100000,-48.100000,top,180.000000
R70,44.800000,-51.800000,top,0.000000
R71,49.000000,-49.200000,top,180.000000
R72,49.000000,-50.300000,top,0.000000
R73,110.600000,-75.400000,top,0.000000
R74,119.050000,-83.242500,top,90.000000
R75,119.100000,-86.800000,top,90.000000
R76,116.700000,-85.600000,top,-90.000000
R77,106.050000,-87.200000,top,90.000000
R78,107.100000,-85.100000,top,90.000000
R79,106.500000,-78.700000,top,90.000000
R80,105.200000,-77.675000,top,90.000000
R81,106.875000,-77.050000,top,0.000000
R82,102.400000,-76.300000,top,180.000000
R83,119.650000,-76.850000,top,180.000000
R84,117.150000,-77.200000,top,180.000000
R85,115.350000,-76.600000,top,90.000000
R86,113.350000,-78.500000,top,180.000000
R87,112.100000,-89.900000,top,0.000000
R88,92.100000,-58.100000,top,180.000000
R89,92.400000,-52.600000,top,180.000000
R90,82.700000,-74.075000,top,0.000000
R91,83.300000,-76.025000,top,180.000000
R92,85.200000,-73.675000,top,90.000000
R93,86.800000,-75.650000,top,0.000000
R94,88.100000,-73.750000,top,0.000000
R95,88.425000,-71.675000,top,0.000000
R96,92.000000,-74.975000,top,180.000000
R97,91.000000,-73.100000,top,90.000000
R98,75.900000,-75.900000,top,90.000000
R99,81.450000,-78.725000,top,-90.000000
R100,83.750000,-79.550000,top,90.000000
R101,89.225000,-84.350000,top,-90.000000
R102,88.200000,-84.350000,top,-90.000000
SW1,160.300000,-80.800000,top,90.000000
SW2,147.550000,-80.800000,top,90.000000
SW3,138.300000,-52.400000,top,-90.000000
SW4,30.450000,-85.100000,top,-90.000000
U1,132.600000,-56.550000,top,0.000000
U2,126.400000,-59.512500,top,0.000000
U3,118.500000,-63.500000,top,90.000000
U5,123.700000,-54.002000,top,180.000000
U6,146.400000,-52.800000,top,90.000000
U7,142.100000,-68.700000,top,90.000000
U8,41.550000,-62.400000,top,90.000000
U9,88.650000,-86.650000,top,-90.000000
U10,44.650000,-84.650000,top,-90.000000
U11,55.025000,-70.750000,top,0.000000
U12,111.950000,-83.580000,top,0.000000
U13,155.600000,-86.950000,top,-90.000000
Y1,117.825000,-68.400000,top,0.000000
Y2,149.650000,-72.950000,top,180.000000
